datetime,country,inv_type,banner_type,exchange,ad_size,is_video,video_duration,placement_type,spend,impressions,clicks,installs,installs_cta,buys_d1,buys_d3,buys_d7,revenue_d1,revenue_d3,revenue_d7,buyers_d1,buyers_d3,buyers_d7
2023-11-01,GB,in_app,vast,IronSource,interstitial_landscape,1,30,rewarded video,0.32902,59,6,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,CA,in_app,vast,IronSource,interstitial,1,45,interstitial video,0.00395,2,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-22,DE,in_app,vast,Vungle,interstitial,1,30,interstitial video,8.11205,1141,965,1,1,0,0,0,0,0,0,0,0,0
2023-12-02,US,in_app,image,AppLovin,xlarge,0,0,banner static,197.5842,1863099,897,57,1,0,0,0,0,0,0,0,0,0
2023-11-27,US,in_app,vast,Chartboost,interstitial,1,30,rewarded video,0.0629,13,2,0,0,0,0,0,0,0,0,0,0,0
2023-11-26,US,in_app,image,Unity,xlarge,0,0,banner static,110.01944,260540,270,40,0,3,3,3,10.97,10.97,10.97,1,1,1
2023-11-15,DE,in_app,image,Google,interstitial_landscape,0,0,interstitial static,1.23163,521,67,0,0,0,0,0,0,0,0,0,0,0
2023-11-09,US,in_app,image,Ogury,xlarge,0,0,banner static,0.9177,852,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-24,DE,in_app,vast,Unity,interstitial,1,42,rewarded video,0.06871,25,10,0,0,0,0,0,0,0,0,0,0,0
2023-11-02,US,in_app,image,Inmobi,xlarge,0,0,banner static,344.36343,1247667,532,136,1,6,9,16,22.94,64.91,82.83,3,6,8
2023-11-20,CA,in_app,vast,Vungle,interstitial_landscape,1,30,rewarded video,3.69837,388,237,0,0,0,0,0,0,0,0,0,0,0
2023-11-17,CA,in_app,image,Vungle,xlarge,0,0,banner static,8.03713,33714,22,2,0,0,0,0,0,0,0,0,0,0
2023-11-23,DE,in_app,vast,Vungle,interstitial_landscape,1,30,interstitial video,0.17762,29,27,0,0,0,0,0,0,0,0,0,0,0
2023-11-30,US,in_app,vast,Mintegral,interstitial_landscape,1,30,interstitial video,21.71578,1017,822,0,0,0,0,0,0,0,0,0,0,0
2023-11-23,CA,in_app,image,IronSource,xlarge,0,0,banner static,10.18552,83288,42,9,0,1,1,1,2.912610728,2.912610728,2.912610728,1,1,1
2023-11-24,GB,in_app,image,Google,interstitial,0,0,interstitial static,2.58459,809,87,1,1,0,0,0,0,0,0,0,0,0
